,artist,title
0,Morgan Wallen,Last Night
1,Miley Cyrus,Flowers
2,Luke Combs,Fast Car
3,Rema & Selena Gomez,Calm Down
4,Lil Durk Featuring J. Cole,All My Life
5,Toosii,Favorite Song
6,SZA,Kill Bill
7,"Metro Boomin, The Weeknd & 21 Savage",Creepin'
8,Taylor Swift Featuring Ice Spice,Karma
9,Eslabon Armado X Peso Pluma,Ella Baila Sola
10,Miguel,Sure Thing
11,Taylor Swift,Anti-Hero
12,The Weeknd & Ariana Grande,Die For You
13,Zach Bryan,Something In The Orange
14,SZA,Snooze
15,Yng Lvcas x Peso Pluma,La Bebe
16,Bad Bunny,Where She Goes
17,Grupo Frontera X Bad Bunny,Un x100to
18,Jelly Roll,Need A Favor
19,Drake,Search & Rescue
20,Morgan Wallen,You Proof
21,Morgan Wallen,Thinkin' Bout Me
22,Post Malone,Chemical
23,Fifty Fifty,Cupid
24,Bailey Zimmerman,Rock And A Hard Place
25,Ed Sheeran,Eyes Closed
26,PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2"
27,Jordan Davis,Next Thing You Know
28,Latto Featuring Cardi B,Put It On Da Floor Again
29,Morgan Wallen,Thought You Should Know
30,David Guetta & Bebe Rexha,I'm Good (Blue)
31,Dua Lipa,Dance The Night
32,Kali,Area Codes
33,Tyler Hubbard,Dancin' In The Country
34,Morgan Wallen,One Thing At A Time
35,Old Dominion,Memory Lane
36,Bizarrap & Peso Pluma,"Bzrp Music Sessions, Vol. 55"
37,Megan Moroney,Tennessee Orange
38,Taylor Swift,Cruel Summer
39,Fuerza Regida,TQM
40,Lil Durk Featuring Morgan Wallen,Stand By Me
41,Bailey Zimmerman,Religiously
42,Noah Kahan,Dial Drunk
43,Chris Brown,Under The Influence
44,Coi Leray,Players
45,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie",Calling
46,"Metro Boomin, Swae Lee, Lil Wayne & Offset",Annihilate
47,BTS,Take Two
48,Luke Combs,Love You Anyway
49,Kane Brown With Katelyn Brown,Thank God
50,"Metro Boomin, A$AP Rocky & Roisee",Am I Dreaming
51,Ice Spice & Nicki Minaj,Princess Diana
52,Peso Pluma,Bye
53,Metro Boomin & Coi Leray,Self Love
54,Scotty McCreery,It Matters To Her
55,David Kushner,Daylight
